"Energy [MeV]" dE/dx "Range [cm]" "Longitudinal Straggling [cm]" "Lateral Straggling [cm]"
0.0009999990000000001 0.9196 0.033996 0.007852 0.007086
0.0011 0.9471 0.036967 0.008235 0.00755
0.0012 0.9740000000000001 0.039869 0.008587000000000001 0.007988
0.0013 1.0003 0.042707 0.008912 0.008402
0.0014 1.0262 0.045484 0.009214 0.008794
0.0015 1.0516 0.048202999999999996 0.009493999999999999 0.009167
0.0016 1.0764 0.050867 0.009756 0.009522
0.0017 1.1009 0.053479 0.010001999999999999 0.009861
0.0018 1.125 0.056041999999999995 0.010232 0.010184
0.002 1.1711 0.061029999999999994 0.010662999999999999 0.010790000000000001
0.00225 1.2259000000000002 0.06703300000000001 0.011144 0.011479999999999999
0.0025 1.27791 0.07280700000000001 0.011567000000000001 0.012107
0.00275 1.3279400000000001 0.078376 0.011944 0.012681999999999999
0.003 1.3767699999999998 0.08376 0.012282 0.01321
0.00325 1.42323 0.088978 0.012588 0.013699000000000001
0.0035 1.46821 0.094042 0.012866999999999998 0.014154
0.00375 1.51162 0.098967 0.013122 0.014578
0.004 1.5544 0.10400000000000001 0.013356 0.014976
0.0045 1.6348500000000001 0.11299999999999999 0.013803 0.015702
0.005 1.71221 0.122 0.014191 0.016350999999999997
0.0055 1.7852800000000002 0.13 0.014533 0.016936
0.006 1.8549 0.13799999999999998 0.014836000000000002 0.017467
0.0065 1.92095 0.146 0.015108000000000002 0.017953999999999998
0.007 1.9843600000000001 0.154 0.015355 0.018402
0.008 2.10501 0.16899999999999998 0.01585 0.019203
0.009 2.21548 0.182 0.016271 0.019902
0.01 2.31957 0.196 0.016636 0.02052
0.011 2.4161099999999998 0.20800000000000002 0.016958 0.021072999999999998
0.012 2.5070099999999997 0.22000000000000003 0.017244 0.021574
0.013 2.59219 0.23199999999999998 0.017502 0.022029
0.014 2.6726 0.244 0.017736000000000002 0.022448
0.015 2.7481899999999997 0.255 0.017950999999999998 0.022835
0.016 2.81993 0.266 0.018149000000000002 0.023194
0.017 2.88681 0.27599999999999997 0.018333000000000002 0.023530000000000002
0.018 2.95079 0.286 0.018505 0.023844999999999998
0.02 3.0680300000000003 0.306 0.018922 0.024421
0.0225 3.1972199999999997 0.331 0.019443000000000002 0.02506
0.025 3.3087299999999997 0.354 0.019905000000000003 0.025629000000000002
0.0275 3.4044899999999996 0.376 0.020322999999999997 0.026143
0.03 3.48743 0.398 0.020707 0.026612
0.0325 3.55751 0.42000000000000004 0.021063 0.027045
0.035 3.61672 0.441 0.021397 0.027449
0.0375 3.66601 0.461 0.021713 0.027826999999999998
0.04 3.70639 0.48200000000000004 0.022014 0.028185
0.045 3.7633300000000003 0.522 0.022938999999999998 0.028849
0.05 3.793466 0.562 0.0238 0.029460000000000004
0.055 3.802743 0.602 0.024616 0.030032
0.06 3.793129 0.642 0.025401 0.030573000000000003
0.065 3.770601 0.682 0.026164 0.031091000000000004
